rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
8,提供,11,5.5,0.0035892929580428248,5,3,4,2,2
8,提出,4,4.0,0.004565049899872252,5,1,1,1,8
8,提升,5,5.0,0.0056547995618815424,5,2,3,1,1
8,提高,7,7.0,0.007869333408530773,5,1,1,1,8
8,攝取,5,5.0,0.007486612122179652,5,6,6,1,2
8,改善,18,9.0,0.006229793676539747,5,7,12,2,1
8,效果,34,17.0,0.009292216810072798,5,7,11,2,3
8,整理,4,4.0,0.0025041036063924533,5,2,2,1,2
8,數量,12,6.0,0.012307703050791428,5,5,7,2,2
8,文章,8,4.0,0.0018541028157121418,5,4,5,2,1
8,方便,4,4.0,0.008178442713158037,5,1,1,1,8
8,方式,4,4.0,0.001082875808782631,5,2,3,1,5
8,日期,5,5.0,0.01458414143220976,5,1,1,1,8
8,時間,15,7.5,0.011683173089053756,5,5,7,2,1
8,最好,4,4.0,0.0020909191852570576,5,2,3,1,2
8,有效,8,4.0,0.00341596319821659,5,5,7,2,1
8,有益,5,5.0,0.004514778999234582,5,4,4,1,2
8,有益菌,1,1.0,0.0033640580401710037,5,9,14,1,1
8,服用,10,10.0,0.008765656059741177,5,7,9,1,1
8,服部,6,6.0,0.019028672442921755,5,1,1,1,8
8,條件,6,6.0,0.017561780503194072,5,1,1,1,8
8,植物乳桿菌,2,2.0,0.00539401544998657,5,7,10,1,1
8,母乳,5,5.0,0.0032483230608619804,5,2,2,1,1
8,比菲德氏菌,8,8.0,0.018503576548499552,5,9,17,1,1
8,比較,11,11.0,0.009642221665715295,5,6,8,1,1
8,沙門氏菌,1,1.0,0.01034909491207777,5,2,2,1,3
8,注意,5,5.0,0.006560383778019898,5,5,6,1,1
8,洛德乳桿菌,1,1.0,0.003695872597205432,5,3,3,1,1
8,活菌,5,1.6666666666666667,0.005352071904796133,5,10,25,3,1
8,消化,4,4.0,0.0018443363302371664,5,5,7,1,1
8,消化道,4,4.0,0.013788424603239088,5,5,5,1,1
8,添加,11,5.5,0.004083092631549622,5,7,13,2,1
8,添加物,5,5.0,0.01966166154360027,5,4,5,1,1
8,清楚,5,5.0,0.0046557273534325,5,1,1,1,8
8,減少,9,4.5,0.009637566485744478,5,4,6,2,3
8,減緩,4,4.0,0.007730209266557818,5,1,1,1,8
8,源菌,1,1.0,0.0069979811944339285,5,1,1,1,8
8,瀏覽,4,4.0,0.015856427571063567,5,1,1,1,8
8,無菌,1,1.0,0.005927446562115993,5,3,3,1,4
8,營養,12,6.0,0.008573025408826731,5,6,9,2,1
8,物質,4,4.0,0.011473986460829779,5,2,2,1,5
8,特性,5,5.0,0.015307710487502096,5,1,1,1,8
8,球菌,14,14.0,0.02222387668298505,5,9,17,1,1
8,環境,15,7.5,0.01451170509999715,5,8,14,2,1
8,生活,4,4.0,0.0021917112065815074,5,4,4,1,2
8,生產,5,5.0,0.01463481708599506,5,1,1,1,8
8,生長,11,5.5,0.02289311816305148,5,4,6,2,2
8,產品,20,10.0,0.008431617163365702,5,10,27,2,1
8,產生,10,10.0,0.011896170045463669,5,3,3,1,5
8,畜產品,4,4.0,0.028905637626816014,5,1,1,1,8
8,病原菌,3,3.0,0.014917211842513338,5,3,3,1,5
8,病源,6,6.0,0.035794944373061216,5,1,1,1,8
8,病菌,1,1.0,0.0016875371846718607,5,4,5,1,4
8,發布,4,4.0,0.02637509489756371,5,1,1,1,8
8,發現,9,9.0,0.007383625832242128,5,6,6,1,1
8,發酵,4,4.0,0.0059128243643030345,5,5,6,1,3
8,益生,2,2.0,-3.6040933393016128e-06,5,6,8,1,2
8,益生元,14,7.0,0.028186062910746566,5,8,15,2,1
8,益生菌,195,39.0,0.0007580980211600326,5,10,58,5,1
8,益生菌品牌,2,2.0,0.004461945140663831,5,6,8,1,1
8,益生菌比較,1,1.0,0.00284785501780358,5,3,5,1,1
8,益生菌種類,1,1.0,0.0069537596085931545,5,6,9,1,1
8,益生質,17,17.0,0.04320315029030524,5,8,23,1,1
8,益菌,10,3.3333333333333335,0.050526300692755786,5,10,32,3,1
8,益菌寶,1,1.0,0.0032044162400039307,5,2,2,1,1
8,相關,9,9.0,0.0039896945979411855,5,7,7,1,1
8,看到,5,5.0,0.0022138611484229733,5,2,2,1,1
8,知識,4,4.0,0.01877329600246623,5,2,2,1,2
8,研究,29,14.5,0.008911618108168522,5,8,16,2,1
8,碧安朵,4,4.0,0.010365770493310469,5,1,1,1,8
8,科學,6,6.0,0.007533066555000927,5,2,2,1,8
8,種菌,1,1.0,0.0030262741829530392,5,1,1,1,8
8,糞腸球菌,5,5.0,0.01629220030013918,5,7,10,1,1
8,細節,4,4.0,0.01988309698331956,5,1,1,1,8
8,細胞,6,6.0,0.02039031766008172,5,3,4,1,5
8,細菌,8,4.0,0.009385243660790049,5,9,34,2,1
8,細菌性,1,1.0,0.006287659036911053,5,2,3,1,5
8,統一LP33益生菌,1,1.0,0.0031792480143997,5,2,2,1,8
8,維基百科,5,5.0,0.012244553490233477,5,1,1,1,8
8,繁殖,4,4.0,0.005638060355069671,5,2,2,1,1
